"Git revsion of specification repo:","c1def241eef538f02034aafa23f95fb0489eb10f"
Nr,Name,"constants","deadlock","deferred_sets","definitions","dynamic_assertions","enumerated_sets","file","formalism","invariant-violated","invariants","number-of-states","number-of-transitions","operations","properties","sha256","static_assertions","variables"
0,"TestTLC_CartProductBug.mch",0,false,0,0,0,0,"./prob-examples/TLC/TLC_Bugs/TestTLC_CartProductBug.mch",b,false,1,1,2,1,0,"4a659d2f1c8c21f25f08815081d8fe516296e7772235dce2656dcbe6098f32e3",0,1
1,"RelLaws_TLC.mch",0,true,0,41,0,2,"./prob-examples/TLC/Laws/RelLaws_TLC.mch",b,true,131,unknown,unknown,5,0,"fffb3095d5a7216130ca611d2c0cda5a44262187548a869d139eb49b09778094",0,5
2,"TLCFunLaws.mch",0,unknown,0,6,0,2,"./prob-examples/TLC/Laws/TLCFunLaws.mch",b,false,12,unknown,unknown,2,0,"65d6e176f4fe2e5edaded876712c689b5073fca6e9cbad16cc6fec34b2c849f9",0,4
3,"BoolLaws_SetCompr.mch",2,true,0,5,0,0,"./prob-examples/TLC/Laws/BoolLaws_SetCompr.mch",b,false,0,2,2,0,25,"dde5c23adaab42368063b9ee8e7291ac1eb539b413bb5fff307488dc85463856",0,0
4,"EqualityLaws.mch",6,false,0,1,0,1,"./prob-examples/TLC/Laws/EqualityLaws.mch",b,false,0,2,3,1,29,"f28b481ade8372549f7ab48b253451833f3d6a3e4421c7038c566c6aa46b1e63",1,0
5,"ArithmeticLaws_TLC.mch",0,true,0,6,0,0,"./prob-examples/TLC/Laws/ArithmeticLaws_TLC.mch",b,false,76,3536,9791,3,0,"4119f60d461a7ce47504036acd1e82e2103b13570a9fbdce5bbf3660aeabd698",0,3
6,"FunLaws.mch",0,false,0,17,0,2,"./prob-examples/TLC/Laws/FunLaws.mch",b,false,226,4096,66177,21,0,"98c29376c12abdf455c6054de78310927c40d7d85f204b265229b9a3074be229",0,4
7,"BoolLaws_SetComprCLPFD.mch",2,true,0,13,0,0,"./prob-examples/TLC/Laws/BoolLaws_SetComprCLPFD.mch",b,false,0,2,2,0,26,"384dcce6bd9dad37955e5eeb0b7dc2bbe1d2b798806fd8ec298844858fb2025d",0,0
8,"BoolWithArithLaws.mch",2,true,0,5,0,0,"./prob-examples/TLC/Laws/BoolWithArithLaws.mch",b,false,51,65,146,3,2,"39191ca69feaed2fb707cac44ed0c943ac46fe67b6cc51dc421d3f9061440be4",0,3
9,"BoolLaws.mch",2,false,0,5,0,0,"./prob-examples/TLC/Laws/BoolLaws.mch",b,false,65,9,26,3,2,"15815fc79e3a58d8ac8b1a9b7677fdde422d47c6fc0a654a838a40af430c5be6",0,3
10,"FunLawsWithLambda.mch",0,false,0,16,0,2,"./prob-examples/TLC/Laws/FunLawsWithLambda.mch",b,false,190,4096,61441,10,0,"e5b4e261aceed68990c3151db34669d5a7d725b361fec477d9ac34a57ec107d3",0,4
11,"SubsetLaws.mch",0,true,0,0,0,1,"./prob-examples/TLC/Laws/SubsetLaws.mch",b,false,15,373248,3172609,5,0,"83f6200128f0edc07423f4af0c370c62ea421e115a01e798213be90aa7518d8c",0,5
12,"CardinalityLaws_TLC.mch",0,true,0,1,0,0,"./prob-examples/TLC/Laws/CardinalityLaws_TLC.mch",b,false,11,1024,2038,2,0,"dbe76b3daf590fa3b23d6aca9e6c58d24626edf916e2ee1183c3cc9dbc162af9",0,1
13,"SetLawsPow.mch",0,false,0,47,0,1,"./prob-examples/TLC/Laws/SetLawsPow.mch",b,false,95,4096,36865,6,0,"3892da8b3112cb8c97049f81f976ac246de2d90ea9d41a05f4509ea9c6a2d579",0,3
14,"TautologiesPL.mch",3,true,0,3,0,0,"./prob-examples/TLC/others/TautologiesPL.mch",b,false,0,16,16,0,0,"da07c1d1325be05f5dcf2424903fdd4505c8b6077c71e739cd41d8bcf21d2b9e",1,0
15,"Railway0_err.mch",2,false,0,3,0,2,"./prob-examples/TLC/WellDefinednessError/Railway0_err.mch",b,false,13,1,6,6,6,"76c24309a3e4afa1dba214d6b2c6bd28ec67912e00e425c53cdb2b16bcad2453",0,7
16,"phonebook.mch",0,false,2,3,1,0,"./prob-examples/TLC/AssertionError/phonebook.mch",b,false,7,125,2290,6,0,"393dd33881d9f02e2ada488302f19a5f532e52a2fa4fddad2c0d32cb2870a3df",0,7
17,"BIT_DEFINITION.mch",6,true,0,0,0,0,"./prob-examples/TLC/AssertionError/BIT_DEFINITION.mch",b,false,0,2,2,0,6,"3e9432f2dc8d07e5ec0c27fd4091ce368fe8151d712942342c04e7a12abf43a0",1,0
18,"TicTacToe.mch",0,true,2,0,0,1,"./prob-examples/TLC/Deadlock/TicTacToe.mch",b,false,1,6047,19418,2,2,"7fc94545d9693219b57dbf1076539de2b1f1b5a0fa83ebc2a4ae29a7a8507142",0,2
19,"GraphIsoVerySimple.mch",4,true,0,1,0,0,"./prob-examples/TLC/Deadlock/GraphIsoVerySimple.mch",b,false,1,33,82,1,7,"d3195eeacae1fafe9231188dff995a4291fae6757302a45f81796781195bd3aa",0,1
20,"KnightsTour.mch",1,true,0,8,0,0,"./prob-examples/TLC/Deadlock/KnightsTour.mch",b,false,3,508462,678084,1,1,"4f22c63dd99bd85680983c44a2dc940da6a3bbf881507b683bbbfe7b8e9eef01",0,3
21,"CardTrick.mch",0,true,0,4,0,1,"./prob-examples/TLC/Deadlock/CardTrick.mch",b,false,4,150181,179157,3,0,"6366b133dc9635466239e6d9f584c36339ded93812afdeda98d1d4a8890535b8",0,4
22,"LeaderElectionRing.mch",2,false,0,3,0,0,"./prob-examples/TLC/NoError/LeaderElectionRing.mch",b,false,1,342,932,3,4,"665456d08dfe7c197d7f4e40d7125c87e1c26ac9c6f36c5dfc55e1567405673f",0,1
23,"SaveSpec.mch",2,false,0,0,0,2,"./prob-examples/TLC/NoError/SaveSpec.mch",b,false,3,50654,728310,9,2,"c6677749c34465eea0eb013854217e449c4b951062e1bca22e71fc996bde81a6",0,3
24,"CAN_BUS_tlc.mch",1,false,0,0,0,4,"./prob-examples/TLC/NoError/CAN_BUS_tlc.mch",b,false,15,132599,340266,21,1,"4d956ddfa0791db3a55a4ba3d40d937850bf20b4a3eeb559387f6076c3a98c83",0,18
25,"BIT_DEFINITION.mch",6,true,0,0,0,0,"./prob-examples/TLC/NoError/BIT_DEFINITION.mch",b,false,0,2,2,0,6,"14798c0bfeb817dcb5b0790c11232c4b6c87e853346318481b7c823909ce24dc",1,0
26,"Counter.mch",1,false,0,0,0,0,"./prob-examples/TLC/NoError/Counter.mch",b,false,1,11,12,2,1,"331352ebe35028366e1cefd3219ec38c198c7dcb66c533dcb0ffed6b4c2d2eb2",0,1
27,"scheduler.mch",0,false,1,3,0,0,"./prob-examples/TLC/NoError/scheduler.mch",b,false,4,35,121,4,0,"ea889fb0a02eb282a360476d917c81cebb98f915e34c355dfe19ea54042d5602",0,3
28,"USB_4Endpoints.mch",1,false,1,0,0,1,"./prob-examples/TLC/NoError/USB_4Endpoints.mch",b,false,5,693,22018,38,1,"239a7a47625c4eb0b4e998b8df59e1274144cd081fe060b576ee900d07e08190",0,4
29,"safecap2549260349036854403.mch",12,false,3,0,0,4,"./prob-examples/TLC/NoError/safecap2549260349036854403.mch",b,false,9,7588,28506,9,23,"17180022699226b44b2b4a7f5776300956f68411aa41c42063f9fa547bd88631",0,9
30,"CSM.mch",0,false,0,0,0,0,"./prob-examples/TLC/NoError/CSM.mch",b,false,15,76,209,13,0,"6ded8b1628d26ab4fae3fc47f9c44ea5d0551756bf5edacb0e23bf0cd09b7a32",0,14
31,"EnumerateFunctionTests.mch",0,false,0,0,0,1,"./prob-examples/TLC/NoError/EnumerateFunctionTests.mch",b,false,0,15,211,14,0,"9baf649ec7bf25d8f27f7b5a22ac6ae6afdab3881a562d00c781383515e3e35f",0,1
